0.00	2.15	6.40	1.50	1.45	2.15	3.05	1.00	2.05	2.30	2.35
2.15	0.00	6.00	0.55	1.15	2.40	1.05	1.55	1.00	2.10	1.40
6.40	6.00	0.00	7.35	12.45	1.25	7.20	8.25	6.50	5.40	7.30
1.50	0.55	7.35	0.00	1.25	2.30	1.00	1.50	1.00	2.00	1.35
1.45	1.15	12.45	1.25	0.00	2.15	4.25	0.00	1.05	3.40	2.10
2.15	2.40	1.25	2.30	2.15	0.00	3.00	2.05	2.05	1.20	2.00
3.05	1.05	7.20	1.00	4.25	3.00	0.00	4.50	1.30	2.20	2.00
1.00	1.55	8.25	1.50	0.00	2.05	4.50	0.00	1.30	4.35	2.15
2.05	1.00	6.50	1.00	1.05	2.05	1.30	1.30	0.00	1.30	1.15
2.30	2.10	5.40	2.00	3.40	1.20	2.20	4.35	1.30	0.00	1.10
2.35	1.40	7.30	1.35	2.10	2.00	2.00	2.15	1.15	1.10	0.00
